Source,Reco_path,Time,Flag
2020-09-27 16-32-02,./2020-09-27 16-32-02.avi,2020-09-27 16-32-02,False
2020-09-27 16-32-07,./2020-09-27 16-32-07.avi,2020-09-27 16-32-07,False
2020-09-27 16-32-08,./2020-09-27 16-32-08.avi,2020-09-27 16-32-08,False
2020-09-27 16-32-09,./2020-09-27 16-32-09.avi,2020-09-27 16-32-09,False
2020-09-27 16-32-09,./2020-09-27 16-32-09.avi,2020-09-27 16-32-09,False
2020-09-27 16-32-09,./2020-09-27 16-32-09.avi,2020-09-27 16-32-09,False
2020-09-27 16-32-09,./2020-09-27 16-32-09.avi,2020-09-27 16-32-09,False
